simulationTime,numOfOrganisms,numOfPlants,maxNumOfOrganisms,maxNumOfPlants,longestLastingGenNum,numberOfChildren
13514,14,66,14,69,7,9,
13558,14,65,15,69,7,10,
13614,13,66,15,69,7,10,
13672,13,65,15,69,7,10,
13730,12,65,15,69,7,9,
13786,13,62,15,69,7,10,
13843,13,63,15,69,7,12,
13900,12,61,15,69,7,12,
13959,10,61,15,69,7,10,
14018,9,60,15,69,7,9,
14077,9,62,15,69,7,9,
14136,9,62,15,69,7,9,
14195,9,62,15,69,7,9,
14253,9,63,15,69,7,9,
14312,8,65,15,69,7,8,
14371,8,63,15,69,7,8,
14429,8,63,15,69,7,7,
